255,255,255,0,No-Color,white,white
255,0,0,647,7-AAD,red,green
0,255,0,530,AcridineOrangeg,green,blue
255,0,0,640,AcridineOrange,red,green
120,0,255,442,AlexaFluor350,blue,purple
142,0,255,433,AlexaFluor405,purple,purple
0,255,0,540,AlexaFluor430,green,blue
0,255,0,519,AlexaFluor488,green,blue
0,255,0,525,AlexaFluor500,green,blue
0,255,0,542,AlexaFluor514,green,blue
239,255,0,555,AlexaFluor532,yellow,green
255,255,0,572,AlexaFluor546,yellow,green
255,255,0,568,AlexaFluor555,yellow,green
255,111,0,603,AlexaFluor568,orange,green
255,0,0,618,AlexaFluor594,red,green
255,0,0,629,AlexaFluor610,red,green
255,0,0,648,AlexaFluor633,red,green
255,0,0,668,AlexaFluor647,red,green
255,0,0,691,AlexaFluor660,red,green
255,0,0,702,AlexaFluor680,red,green
255,0,0,719,AlexaFluor700,red,green
255,0,0,776,AlexaFluor750,red,green
255,0,0,804,AlexaFluor790,red,green
255,0,0,660,Allophycocyanin(APC),red,green
0,255,255,480,AmCyan1,blue,purple
109,0,255,445,Aminocoumarin,blue,purple
255,0,0,767,APC-Cy7conjugates,red,green
255,191,0,592,AsRed2,orange,green
0,255,139,505,AzamiGreen,green,blue
101,0,255,447,Azurite,blue,purple
0,255,0,512,BODIPY-FL,green,blue
0,255,0,517,Calcein,green,blue
159,0,255,423,CascadeBlue,purple,purple
0,220,255,475,Cerulean,blue,purple
255,255,0,575,ChromomycinA3,yellow,green
0,255,123,506,Cy2,green,blue
165,255,0,550,Cy3,green,blue
255,178,0,594,Cy3.5,yellow,green
255,0,0,670,Cy5,red,green
255,0,0,694,Cy5.5,red,green
255,0,0,767,Cy7,red,green
0,241,255,477,CyPet,blue,purple
0,0,255,455,DAPI,blue,purple
0,255,0,535,DCFH,green,blue
0,255,0,534,DHR,green,blue
255,0,0,681,DRAQ5,red,green
255,226,0,586,DsRedmonomer,yellow,green
255,249,0,582,DsRed2('RFP'),yellow,green
126,0,255,440,EBFP,purple,purple
95,0,255,448,EBFP2,blue,purple
0,241,255,477,ECFP,blue,purple
0,255,104,507,EGFP,green,blue
0,255,51,509,Emerald,green,blue
255,0,0,620,EthidiumBromide,red,green
0,255,0,527,EYFP,green,blue
0,255,0,519,FITC,green,blue
0,255,0,526,Fluo-3,green,blue
0,255,0,520,FluorX,green,blue
0,255,82,508,GFPuv,green,blue
255,0,0,618,HcRed1,red,green
0,252,255,478,Hoechst33258,blue,purple
0,255,255,483,Hoechst33342,blue,purple
183,0,255,386,Hydroxycoumarin,purple,purple
176,0,255,405,Indo-1(HighCa),purple,purple
0,255,255,490,Indo-1(LowCa),blue,purple
255,0,0,610,J-Red,red,green
255,0,0,635,Katusha,red,green
255,255,0,559,KusabiraOrange,yellow,green
255,0,0,712,LDS751(DNA),red,green
255,66,0,607,LDS751(RNA),red,green
255,203,0,590,LissamineRhodamin,yellow,green
0,255,0,528,Luciferyellow,green,blue
0,220,255,475,mCFP,blue,purple
255,0,0,610,mCherry,red,green
0,255,0,529,mCitrine,green,blue
173,0,255,410,Methoxycoumarin,purple,purple
0,255,255,495,MidoriishiCyan,blue,purple
255,255,0,575,Mithramycin,yellow,green
255,0,0,635,mKate(TagFP635),red,green
255,0,0,620,mKeima-Red,red,green
255,255,0,559,mKO,yellow,green
0,65,255,461,Monochlorobimane,blue,purple
255,255,0,562,mOrange,yellow,green
255,0,0,649,mPlum,red,green
255,0,0,625,mRaspberry,red,green
255,66,0,607,mRFP1,red,green
255,165,0,596,mStrawberry,orange,green
0,255,255,492,mTFP1,blue,purple
0,255,0,539,NBD,green,blue
1,0,255,455,PacificBlue,blue,purple
183,255,0,551,PacificOrang,green,blue
255,0,0,670,PE-Cy5conjugates,red,green
255,0,0,767,PE-Cy7conjugates,red,green
255,0,0,675,PerCP,red,green
255,0,0,617,PropidiumIodide(PI),red,green
255,0,0,613,Red613,red,green
255,255,0,578,R-Phycoerythrin(PE),yellow,green
0,255,154,504,S65A,green,blue
0,255,104,507,S65C,green,blue
0,255,0,510,S65L,green,blue
255,0,0,511,S65T,red,green
255,221,0,587,SNARF(pH6),yellow,green
255,0,0,635,SNARF(pH9),red,green
0,255,255,480,SYTOXBlue,blue,purple
0,255,0,523,SYTOXGreen,green,blue
255,255,0,570,SYTOXOrange,yellow,green
0,255,255,480,TagCFP,blue,purple
0,255,139,505,TagGFP,green,blue
255,238,0,584,TagRFP,yellow,green
0,255,0,524,TagYFP,green,blue
255,254,0,581,tdTomato,yellow,green
255,0,0,530,TexasRed,red,green
0,255,0,691,ThiazoleOrange,green,blue
0,255,0,527,Topaz,green,blue
0,255,0,533,TOTO-1,green,blue
255,0,0,661,TOTO-3,red,green
255,255,0,572,TRITC,yellow,green
255,0,0,695,TruRed,red,green
0,255,0,511,T-Sapphire,green,blue
255,120,0,602,TurboFP602,orange,green
255,0,0,635,TurboFP635,red,green
0,255,181,502,TurboGFP,green,blue
255,255,0,574,TurboRFP,yellow,green
0,255,0,538,TurboYFP,green,blue
0,255,0,528,Venus,green,blue
0,255,82,508,WildTypeGFP,green,blue
255,255,0,576,XRITC,yellow,green
0,255,82,508,Y66F,green,blue
120,0,255,442,Y66H,purple,purple
255,0,0,691,Y66W,red,green
0,255,51,509,YOYO-1,green,blue
0,255,0,530,YPet,green,blue
0,255,139,505,ZsGreen1,green,blue
0,255,0,539,ZsYellow1,green,blue
